venue_uid,"venue","coordinates","address","city","zip","url"
534110,"1743 Kipling Street","29.740078,-95.4061827","1743 Kipling Street","Houston","77098",NULL
538497,"Houston Vineyard","29.7910111,-95.3877124","1035 East 11th Street","Houston","77009","www.houstonvineyard.org"
554808,"Natachee's","29.7386508,-95.3796433","3622 Main Street","Houston","77002","www.natachees.com"
557630,"Caroline Collective","29.7296438461538,-95.3828358461539","4820 Caroline Street","Houston","77004","carolinecollective.cc"
558770,"7831 Fondren Road","29.694174,-95.510691","7831 Fondren Road","Houston","77074",NULL
561716,"Block 7 Wine Company","29.7684850816327,-95.4093352653061","720 Shepherd Drive","Houston","77007","www.block7wineco.com"
582724,"Walter's Downtown","29.7697908,-95.3596329","1120 Naylor Street","Houston","77002","www.waltersdowntown.com"
606854,"All Over Houston Multi-venue",NULL,NULL,"Houston",NULL,NULL
612969,"Koelsch Haus","29.734432,-95.388987","801 Richmond Avenue","Houston","77006","koelschgallery.com"
615820,"Moody Center for the Arts (Rice University)","29.7143317,-95.4048969","6100 Main Street, MS-480","Houston","77005","moody.rice.edu"
695791,"Aker Imaging Gallery","29.769926,-95.408822","4708 Lillian Street","Houston","77007","www.akerimaging.com"
712212,"David Shelton Gallery","29.7328175,-95.3908126","4411 Montrose Boulevard, Suite B","Houston","77006","davidsheltongallery.com"
716100,"What Have You","29.73105,-95.3275202","1308 Telephone Road","Houston","77023","www.whathaveyou.us"
750269,"Imago Dei Gallery","29.720657,-95.4167219","2525 Robinhood Street","Houston","77005","www.imagodeigallery.com"
761464,"El Bambi","29.7978537,-95.385482","4721 North Main Street","Houston","77009","www.facebook.com/elbambihtx/"
769711,"Meredith Long and Company","29.7486959,-95.4158167","2323 San Felipe Street","Houston","77019","www.meredithlonggallery.com"
807204,"The Brayerroom","29.723104,-95.401683","1708 Sunset Boulevard","Houston","77005","thebrayerroom.wordpress.com"
817872,"Super Happy Funland","29.741161,-95.342575","3801 Polk Street","Houston","77003","www.superhappyfunland.com"
819363,"Laura Rathe Fine Art","29.7493038,-95.462209","1700 Post Oak Boulevard","Houston","77056",NULL
863478,"The Collective at the Midtown Art Center Tea Room","29.7376529591837,-95.3748224285714","1413 Holman Street","Houston","77004",NULL
876417,"Carnegie Branch (Houston Public Library)","29.7820726,-95.3607295","1050 Quitman Street","Houston","77009","houstonlibrary.org/location/carnegie-neighborhood-library-and-center-learning"
881857,"Art Square Studios on Commerce","29.7565999,-95.3491568","2315 Commerce Street","Houston","77003",NULL
881985,"Heritage Plaza Lobby","29.7591138979592,-95.3707293673469","1111 Bagby Street","Houston","77002",NULL
895422,"Meyer Metro Gallery","29.7062414705882,-95.4704889117647","5207 Bissonnet Street","Bellaire","77401","www.meyermetrogallery.com"
909677,"1506 Lorraine Street","29.778132,-95.3549447","1506 Lorraine Street","Houston","77009",NULL
966651,"Margolis Gallery (Congregation Beth Israel)","29.6796586,-95.4674815","5600 North Braeswood Boulevard","Houston","77096","www.beth-israel.org/public/pag275.aspx"
977086,"1406 Indiana Street","29.7496974,-95.3990683","1406 Indiana Street","Houston","77006",NULL
984952,"EaDo Workspaces","29.7452808,-95.3450534","3420 Rusk Street","Houston","77003",NULL
989834,"Plant It Forward Farms (University of St. Thomas)","29.738083,-95.3977186","1318 Sul Ross Street","Houston","77006","ddd"
1077923,"Aurora Picture Show","29.7272886610268,-95.4156053071649","2442 Bartlett Street","Houston","77098","aurorapictureshow.org/pages/home.asp"
1088463,"The Barn","29.7551722,-95.3503068","2201 Preston Street","Houston","77003",NULL
1097735,"Navigation Esplanade","29.757667,-95.3448017","2600 Navigation Boulevard","Houston","77003",NULL
1102985,"2404 Montrose Gallery","29.7479654285714,-95.3920885102041","2404 Montrose Boulevard","Houston","77006","www.2404montrose.com"
1136467,"Tunnel System Beneath The Esperson Building","29.7588837755102,-95.3648098367347","808 Travis Street","Houston","77002",NULL
1145359,"Main Street Projects","29.7246365,-95.3905619","3717 Main Street","Houston","77002","www.midmainhouston.com/msp"
1150052,"Heights Contemporary Art Gallery, or H Gallery","29.802885244898,-95.4084631632653","617 West 19th Street","Houston","77008",NULL
1153402,"Menil Collection","29.737713,-95.3978528571429","1515 Sul Ross Street","Houston","77006","www.menil.org"
1166499,"Insomnia Gallery","29.7347805,-95.3319837","708 Telephone Road, Suite C","Houston","77023","www.theinsomniagallery.com"
1183905,"713INC","29.776716,-95.361608","1912 North Main Street","Houston","77009",NULL
1202932,"Art Guys World Headquarters","29.8493658633252,-95.4231187030828","5757 Knox Street","Houston","77091","theartguys.com"
1212828,"Galveston Artist Residency","29.3054588,-94.7972298","2521 Ship Mechanic Row Street","Galveston","77550","galvestonartistresidency.org"
1246353,"Third Space (UH)","29.7245052,-95.342471","4188 Elgin Street, Room 100","Houston","77204",NULL
1261491,"FrenetiCore / Frenetic Theater","29.7501632040816,-95.321253244898","5102 Navigation Boulevard","Houston","77011","www.freneticore.net"
1300447,"Dudley Recital Hall (UH)","29.7203625,-95.3435584","4800 Calhoun Road, 1st Floor, Fine Arts Building","Houston","77004",NULL
1315886,"Transart Foundation for Art and Anthropology","29.7388318,-95.3971229","1412 West Alabama Street","Houston","77006",NULL
1334084,"Alamo Drafthouse @ Mason Park","29.7765647,-95.7496731","531 South Mason Road","Katy","77450","drafthouse.com/houston/mason_park"
1358830,"Studio 1821","29.738334,-95.4077697","1821 West Alabama Street","Houston","77098","www.studio1821.com"
1372240,"The Art Institute of Houston (AIH)","29.7302757,-95.4479535","4140 Southwest Freeway","Houston","70027","www.artinstitutes.edu/houston/"
1396764,"Koelsch Gallery","29.7527419,-95.3940784","1020 Deden Street","Houston","77006","www.koelschgallery.com"
1405677,"George H. Lewis and Sons Funeral Directors","29.7557211,-95.4802541","1010 Bering Drive","Houston","77057",NULL
1412195,"International Modern Art Gallery","29.723400,-95.403639","1802 Sunset Boulevard","Houston","77005","www.imagallery.org"
1426933,"The Studio of Anthony Day and Justine Waitkus","29.747899,-95.393348","2401 Van Buren Street","Houston","77006",NULL
1459984,"DiverseWorks","29.7685355,-95.3559525","1117 East Freeway","Houston","77002","www.diverseworks.org"
1540059,"Williams Tower Gallery","29.737804,-95.460759","2800 Post Oak Boulevard","Houston","77056",NULL
1552307,"West Ave. River Oaks","29.740757,-95.418861","2800 Kirby Drive","Houston","77098",NULL
1613212,"2426 Bartlett Street, Suite D","29.7273762,-95.4182755","2426 Bartlett Street, Suite D","Houston","77098",NULL
1647308,"DiverseWorks","29.7355171,-95.3811904","3400 Main Street, Suite 292","Houston","77002","diverseworks.org"
1657885,"Emancipation Park","29.7357077,-95.3665813","3018 Emancipation Avenue","Houston","77004","www.houstontx.gov/parks/parksites/emancipationpark.html"
1664149,"The Museum of Drawing, Houston","29.7905599,-95.392948","628 East 11th Street","Houston","77008","www.modhouston.org"
1687068,"Alliance Française de Houston","29.7430692,-95.3892042","427 Lovett Boulevard","Houston","77006","www.alliancehouston.org"
1714973,"The Second Bedroom","29.734697,-95.407719","1920 Richmond Avenue","Houston","77098","www.thesecondbedroom.gallery/exhibitions/"
1719345,"Next Wall Gallery","29.7470655667101,-95.4001622406632","1717 Michigan Street","Houston","77006","n/a"
1729644,"SAMARA Gallery","29.7345029,-95.4271142","3100 Richmond Avenue","Houston","77098","www.samaragallery.com"
1737223,"Mother Dog Studios","29.7669719169717,-95.3551001992501","720 Walnut Street","Houston","77002","home.earthlink.net/~motherdogstudios/mother"
1747891,"Aerosol Warfare Gallery & Boutique","29.7446138,-95.359999","2110 Jefferson Street, Suite 113","Houston","77003","www.myspace.com/aerosolwarfare"
1759779,"The Houston Studios","29.763834,-95.360087","110 Main Street, Suite #200","Houston","77002","www.thehoustonstudio.com"
1767648,"Buffalo Bayou Park","29.7625113,-95.3882","Allen Parkway @ Gillette Street","Houston","77019",NULL
1770792,"Hello Project","29.7346746734694,-95.4199782653061","3508 Lake Street","Houston","77098","helloprojectgallery.com"
1792180,"Art Alley at Sawyer Yards","29.771869,-95.3840617","1502 Sawyer Street","Houston","77007","www.sawyeryards.com/single-post/2018/10/02/Outer-Limits-Sculpture-in-Art-Alley"
1793924,"Red Maple Gallery Houston","29.7295421,-95.3953795","1116 Milford Street","Houston","77006","www.redmaplegalleryhouston.com"
1794329,"White Oak Music Hall","29.7858133,-95.3668186","2915 North Main Street","Houston","77009","www.whiteoakmusichall.com"
1831244,"Civic TV Collective","29.7497027346939,-95.3563748367347","2119 Dallas Street","Houston","77003","www.civictvcollective.com"
1882788,"Dean's Credit Clothing Montrose","29.7481414285714,-95.3858984285714","315 Fairview Street","Houston","77006",NULL
1906992,"BR Vino","29.5594915,-95.8095386","1917 Avenue G","Rosenberg","77471","www.brvino.com"
1917776,"Silos at N. St. Charles and Kennedy streets","29.7601427,-95.3415353","490 North Live Oak Street","Houston","77003",NULL
1952652,"Mixed Emotions Fine Art & Frame Gallery","29.7483143902172,-95.3833625520871","95 Tuam Street","Houston","77006","mixedemotions.com/ "
1959807,"The Temporary Space","29.7681062244898,-95.3539984081633","1320 Nance Street","Houston","77002","www.thetemporaryspace.com"
1981613,"Boom Boom Room","29.8092533928571,-95.3992509285714","2518 Yale Street","Houston","77008","theboomboomroomhouston.com"
2074378,"The Heritage Society","29.7593071,-95.3733798","1100 Bagby Street","Houston","77002","www.heritagesociety.org"
2079210,"Settlement Goods","29.7374483,-95.3907192","3939 Montrose Boulevard, Suite M","Houston","77006","settlementgoods.com "
2092188,"Buffalo Bayou Brewing Company","29.776135,-95.415983","5301 Nolda Street","Houston","77007","www.buffbrew.com"
2092539,"Liberty Station","29.767957,-95.379569","2101 Washington Avenue","Houston","77007",NULL
2101824,"Clarke & Associates","29.7910034,-95.3972462","301 East 11th Street","Houston","77008","www.clarkeassoc.com"
2120052,"Space Montrose","29.7429604,-95.4023247","1706 Westheimer Road","Houston","77098","www.spacemontrose.com"
2145467,"The Heights Theater","29.8031919,-95.4050573","339 West 19th Street","Houston","77008","theheightstheater.com"
2188428,"Optical Project","29.7909195510204,-95.3872143061224","1125 East 11th Street","Houston","77009","www.billdavenport.com/opticalproject/optica"
2204740,"Kaboom Books","29.7866573174603,-95.3720224920635","3116 Houston Avenue","Houston","77009","www.kaboombooks.com"
2207413,"Airline Drive @ East Whitney Street","29.828850,-95.384229","4400 Airline Drive","Houston","77022","www.theartguys.com/situation.html"
2222642,"Blossom Street Gallery","29.7674431598682,-95.4096283108735","4809 Blossom Street","Houston","77007",NULL
2237894,"Petal Gallery in the Magnolia Brewery Building","29.7645814,-95.362577","715 Franklin Street","Houston","77002",NULL
2260451,"BS Projects","29.8200876,-95.4601119","4540 West 34th Street, Suite D","Houston","77092",NULL
2271027,"EMERGEncy Room Gallery","29.7173941,-95.4018312","6100 Main Street","Houston","77005","studioart.rice.edu/Content.aspx?id=2147483734"
2272587,"3300 Jensen Drive","29.792762,-95.341707","3300 Jensen Drive","Houston","77026",NULL
2285067,"Mobil Gas Station","29.733455,-95.3656","3305 Dowling Street","Houston","77004",NULL
2314006,"13 Celsius","29.74119,-95.373692","3000 Caroline Street","Houston","77004","www.13celsius.com"
2363632,"ArtStorm","29.7576387,-95.3605511","4828 Caroline Street","Houston","77004","www.artstormhouston.com"
2466528,"R.A. Apffel Park/East Beach Pavilion","29.3301735,-94.7350764","1923 Boddeker Road","Galveston","77550",NULL
2484744,"The Waterworks in Buffalo Bayou Park","29.7635122,-95.3792642,14.6","105 Sabine Street","Houston","77007","buffalobayou.org/visit/destination/buffalo-bayou-park/#water-works"
2533723,"Rice University","29.720582,-95.393813","6100 Main Street","Houston","77005","www.rice.edu"
2563396,"Westheimer Road & Hillcroft Street","29.737777,-95.487354","6000 Westheimer Road","Houston","77057",NULL
2575785,"14 Pews","29.8097397906977,-95.3893475116279","800 Aurora Street","Houston","77009","14pews.org"
2594833,"Esperson Gallery","29.7545065,-95.3649847","1201 Fannin Street, Suite 131","Houston","77002",NULL
2598196,"Aurora Studios & Gallery","29.809944,-95.3977929","129 Aurora Street","Houston","77008","www.facebook.com/AuroraStudiosintheheights/?ref=bookmarks"
2611891,"Jumper Maybach Fine Art","29.8026638,-95.4028725","238 West 19th Street","Houston","77008","www.facebook.com/JumperMaybachFineArt/"
2652651,"Sugar Land Auditorium","29.6248745,-95.6298186","226 Lakeview Drive","Sugar Land","77498","slcaf.org/sugar-land-auditorium/"
2681243,"Post HTX","29.7660696,-95.3645899","401 Franklin Street","Houston","77201","www.facebook.com/posthouston/"
2683950,"The Gimp Room at the Glass Peacock","29.7787916,-95.3729244","Glass Peacock","Houston","77008","www.facebook.com/gimproom"
2730495,"Rice Architecture (Rice University)","29.7189082,-95.4019502","6100 Main Street, MD Anderson Hall","Houston","77005","arch.rice.edu"
2733986,"Houston City Hall","29.760656,-95.369502","901 Bagby Street","Houston","77002","www.houstontx.gov "
2754372,"Atelier Jacquinet Art Studio and Gallery","29.763422,-95.3519999","913 McKee Street","Houston","77002","atelierjacquinet.com"
2797286,"Anya Tish Gallery","29.7331773877551,-95.3910081836735","4411 Montrose Boulevard","Houston","77006","www.anyatishgallery.com"
2838960,"Zoya Tommy Contemporary","29.7331773877551,-95.3910081836735","4102 Fannin Street","Houston","77004","www.zoyatommy.com"
2854766,"Border, USA | MX","29.7417869,-95.3801014","1302 Dennis Street","Houston","77004",NULL
2857335,"G Gallery","29.7910235,-95.3949771","301 East 11 Street","Houston","77008","www.ggalleryhouston.com"
2873662,"Commerce Street Gallery","29.760131,-95.353352","1701 Commerce Street","Houston","77002","www.commercestgallery.com/location.html"
2882905,"ArtHouston",NULL,"P.O. Box 980693","Houston","77098","www.arthouston.com"
2930578,"Paper and Space Artist Residency","29.7403343,-95.3899901","615 Kipling Street, Unit 7","Houston","77006","www.paperandspace.com"
2936622,"Hilton Americas Houston","29.75154905,-95.3606511935232","1600 Lamar Street","Houston","77010","www3.hilton.com/en/hotels/texas/hilton-americas-houston-HOUCVHH/index.html"
2959161,"Hunter Gather","29.717055,-95.473347","5320 Gulfton Street, Suite 15","Houston","77081","www.huntergatherproject.com"
2974930,"Moores Opera House (UH)","29.7251621,-95.344576","3333 Cullen Boulevard, 120 School Of Music Building","Houston","77204","www.uh.edu/class/music/opera/about-us/opera-house/"
2977656,"Studio Gallery","29.8028953,-95.4085155","613 1/2 West 19th Street, Suite A","Houston","77008","www.mwstudiogallery.com"
2994965,"2800 Fannin Street","29.7435761,-95.3763952","2800 Fannin Street","Houston","77002",NULL
2997761,"Boheme Cafe and Wine Bar","29.7481428979592,-95.3858553265306","307 Fairview Street","Houston","77006","barboheme.com"
3029515,"Tomo Mags","29.738591,-95.3905517","703 West Alabama Street","Houston","77006",NULL
3029537,"The DeLuxe Theater","29.7760605,-95.3366626","3303 Lyons Avenue","Houston","77020","www.thedeluxetheater.com"
3035397,"Booker-Lowe Gallery","29.766020755102,-95.4074988367347","4623 Feagan Street","Houston","77007","www.bookerlowegallery.com"
3062173,"Crosspoint Community Church","29.7663318,-95.7422109","700 South Westgreen Boulevard","Katy","77450",NULL
3071924,"Apama Mackey Gallery","29.6613818,-95.2174752","628 East 11th Street","Houston","77504","www.mackeygallery.com"
3099856,"The Architecture Center Houston Foundation","29.7628673,-95.3689592","315 Capitol Street, Suite 120","Houston","77002","www.aiahouston.org"
3141046,"University Academic Center Gallery (HBU)","29.6980291836735,-95.5152786326531","7502 Fondren Road","Houston","77074","www.hbu.edu/artgallery"
3143806,"DeSantos Gallery","29.7345219,-95.3967355","1724-A Richmond Avenue","Houston","77098","www.desantosgallery.com"
3151828,"Progressive Amateur Boxing Association","29.734219,-95.3655519","3212 Downling Street","Houston","77004",NULL
3155723,"Moody Gallery","29.734756,-95.421653","2815 Colquitt Street","Houston","77098","www.moodygallery.com"
3214624,"Total Plaza","29.7565278,-95.3685713818705","1601 West Alabama Street","Houston","77002",NULL
3255090,"Wade Wilson Art","29.732777,-95.390707","4411 Montrose Boulevard, Suite #200","Houston","77006","www.wadewilsonart.com"
3260883,"Westheimer Street Festival","29.7448235,-95.387463","300-500 Westheimer Road","Houston","77006",NULL
3297716,"North Gallery (SJC North)","29.8101089,-95.180628","5800 Uvalde Road","Houston","77049",NULL
3352428,"BLUEorange Contemporary","29.75338284,-95.39438396","1208 West Gray Street","Houston","77019","blueorangehouston.com"
3368192,"University Academic Center (HBU)","29.6980291836735,-95.5152786326531","7502 Fondren Road","Houston","77074",NULL
3399400,"Bevy Lab","29.7678813,-95.3561577","1310 Nance Street","Houston","77002",NULL
3417198,"Mason Park Community Center Club House","29.7237104,-95.2966522","541 South 75th Street","Houston","77023",NULL
3430069,"Mariago Collective","29.7639617,-95.39888","1707 Waugh Drive","Houston","77006","1707collective.com"
3445901,"2619 Arbor Street","29.7225046,-95.3730973","2619 Arbor Street","Houston","77004",NULL
3461842,"5601 Navigation Boulevard","29.7482595,-95.3190967","5601 Navigation Boulevard","Houston","77011",NULL
3463717,"UNIX Gallery","29.732777,-95.3928957","4411 Montrose Boulevard, Suite C","Houston","77006","www.unixgallery.com"
3510342,"Craft Salon","29.7455709387755,-95.4020070816326","2307 Dunlavy Street","Houston","77006","www.craftsalonhouston.com"
3536561,"Heights Art Studio and Gallery","29.8112935714286,-95.3972181428571","214 East 27th Street","Houston","77008","www.heightsartstudios.com"
3550312,"College of the Mainland Art Gallery (CoM)","29.3958545,-94.9996207","1200 Amburn Road","Texas City","77591","www.com.edu/arts-culture/gallery.php"
3555411,"The Record Ranch Gallery (Cactus Music)","29.7334905530965,-95.4108956164531","2110 Portsmouth Street","Houston","77098","www.cactusmusictx.com"
3568998,"1933 Dryden Road","29.7109142,-95.4054954","1933 Dryden Road","Houston","77030",NULL
3630958,"Pablo Cardoza Gallery","29.771869,-95.3840617","1502 Sawyer Street, #141","Houston","77007","pablocardozagallery.com"
3635620,"Select Studios Photography","29.7730326632653,-95.4118483061225","5016 Allen Street","Houston","77007",NULL
3707130,"Dimmitt Contemporary","29.737532,-95.4381927","3637 West Alabama Street, #160","Houston","77027","dimmittcontemporaryart.com"
3708126,"Hiram Butler Gallery","29.7676543469388,-95.4063963673469","4520 Blossom Street","Houston","77007","www.devinbordenhirambutlergallery.com"
3742630,"Ahearn Room at the Crooker Center (University of St. Thomas)","29.738651,-95.391267","3800 Montrose Boulevard","Houston","77006",NULL
3752483,"Buffalo Bayou Park Cistern","29.7618375,-95.3757073","105 Sabine Street","Houston","77007","buffalobayou.org/visit/destination/the-cistern/"
3763254,"Katy Contemporary Art Museum","29.786581,-95.822283","805 Avenue B","Katy","77493",NULL
3772654,"Private Eye Gallery","29.728044,-95.3282624","1540 Telephone Road","Houston","77023","www.facebook.com/privateeyegallery/"
3775918,"Reliant Center","29.687908,-95.405454","1 NRG Park","Houston","77054","reliantpark.com"
3779830,"Smith Street Gallery","29.755261,-95.3726087","1600 Smith Street","Houston","77002",NULL
3781505,"Campus Gallery (San Jacinto College South)","29.6040443,-95.2284853","13725 Beamer Road, Marie Flickinger Fine Arts Center","Houston","77089",NULL
3804532,"Moody Mansion Garage","29.2991604897959,-94.7958439795918","2618 Broadway Avenue J","Galveston","77550",NULL
3816741,"Texas Gallery","29.7523955454545,-95.408722","2012 Peden Street","Houston","77019","www.texgal.com"
3843275,"Tx/Rx Labs","29.7509371836735,-95.3404534693878","205 Roberts Street","Houston","77003","www.txrxlabs.org"
3850762,"The Contemporary Art Guys Museum","29.8493658633252,-95.4231187030828","5757 Knox Street","Houston","77091","theartguys.com"
3879357,"Miller Outdoor Theatre","29.7148356,-95.389314","6000 Hermann Park Drive","Houston","77030",NULL
3887462,"Darke Gallery","29.7656385185185,-95.4162057037037","320 Detering Street","Houston","77007","www.darkegallery.com"
3887486,"Shrimp Festival Site 2014","29.7582729,-95.3303151","901 North York Street","Houston","77003",NULL
3893837,"I610 Loop","29.813551,-95.3719679","610 North Loop West","Houston","77009",NULL
3899928,"urban studio of eARThly debris","29.773313,-95.4125067","1318 Durham Drive","Houston","77007",NULL
3905084,"District Art Gallery","29.7678767,-95.3562985","810 Richey Street","Houston","77002","www.districtartgalleries.com"
3907646,"Charlton Community Center","29.687663,-95.274494","8200 Park Place Boulevard","Houston","77017",NULL
3934682,"The Capitol at St. Germain","29.7589677,-95.3631083","705 Main Street","Houston","77002","www.thecapitolhouston.com"
3952689,"Sundance Cinemas","29.762442,-95.366486","510 Texas Street","Houston","77002","www.sundancecinemas.com/houston.html"
3988749,"Art Supply on Main","29.7444937346939,-95.3746728979592","2711 Main Street","Houston","77002","artsupplyonmain.com"
3998459,"Legacy Room (Houston City Hall)","29.7606791,-95.3724261","900 Bagby Street","Houston","77002",NULL
4004618,"Lambert Hall","29.801058755102,-95.3979823061224","1703 Heights Boulevard","Houston","77008",NULL
4011713,"Discovery Green","29.754134,-95.359323","1500 McKinney Street","Houston","77010","www.discoverygreen.com"
4024092,"Bea Ying Projects Pop-Up Gallery","29.7816846107781,-95.3735544999994","1606 White Oak Drive","Houston","77009","beayingprojects.com"
4029071,"Hardy & Nance Street Studio Complex","29.7687124825535,-95.3512162978562","902 Hardy Street","Houston","77020","nancestreetstudios.blogspot.com"
4036593,"Galveston Arts Center","29.307313,-94.792954","2127 Strand Street","Galveston","77550","www.galvestonartscenter.org"
4079019,"Finesilver Gallery Houston","29.7246365,-95.3905619","3913 Main Street","Houston","77002","www.finesilver.com"
4150171,"1300 Andrews Street (Freedmen's Town)","29.755859,-95.380577","1300 Andrews Street","Houston","77019",NULL
4155903,"1940 Air Terminal Museum","29.64706925,-95.2861792287931","8325 Travelair Street","Houston","77061",NULL
4169497,"Kinzelman Art Consulting","29.7246365,-95.3905619","3909 Main Street","Houston","77002","www.kinzelmanart.com"
4174713,"Houston Center","29.75636,-95.3654762","909 Fannin Street","Houston","77010","houstoncenter.com/home.axis"
4202457,"Talento Bilingue de Houston TBH Center","29.7603707733333,-95.3445929066667","333 South Jensen Drive","Houston","77003","www.tbhcenter.org"
4224158,"Sharpstown Community Center","29.7086363333333,-95.5280807681159","6600 Harbor Town Drive","Houston","77036",NULL
4246651,"Glass Crescent","29.806247,-95.379109","1609 Northwood Street","Houston","77009",NULL
4246900,"La Nova Tile Importers","29.7460263,-95.37422","2325 Fannin Street","Houston","77054",NULL
4331112,"Villains","29.758545,-95.350777","2001 Commerce Street","Houston","77002","www.villainshouston.com"
4333748,"3809 Rosedale Street","29.7146225,-95.3562586","3809 Rosedale Street","Houston","77004",NULL
4334497,"Station Museum of Contemporary Art","29.725085,-95.3554069","1502 Alabama Street","Houston","77004","www.stationmuseum.com"
4346308,"para/site","29.7319513673469,-95.365307755102","2519 Holman Street","Houston","77004","galeriaperdida.com/main.html"
4362617,"Harris Gallery","29.726225,-95.392018","1100 Bissonnet Street","Houston","77006","www.harrisgalleryhouston.com"
4377961,"Saint Arnold Brewing Company","29.771508,-95.348911","2000 Lyons Avenue","Houston","77020","www.burningbonespress.com"
4403402,"Nos Caves Vin (Wroxton Location)","29.724572,-95.416907","2501 Wroxton Road","Houston","77005",NULL
4415947,"Freedmen's Town Association","29.7565494,-95.383448","1320 Robin Street","Houston","77019",NULL
4427406,"Amplify Sugar Land - Crossbridge Gallery","29.6350989756098,-95.6188444512195","1049 Eldridge Road","Sugar Land","77478","amplifysugarland.com"
4451265,"Space HL","29.7395411,-95.3410013","1303 Cullen Boulevard","Houston","77023","www.galleryhomeland.org"
4458439,"BeHuman Gallery","29.7790182,-95.5610984","12848 Queensbury Lane, Suite 204","Houston","77024","www.behumangallery.com"
4507326,"AIG's Life Building","29.7602556,-95.3947109","2727 Allen Parkway","Houston","77019",NULL
4509071,"Fresh Arts","29.7718041,-95.3801122","2101 Winter Street, Suite B11","Houston","77007","fresharts.org"
4522702,"Aurora Video Library","29.7378765714286,-95.398009755102","1524 Sul Ross Street","Houston","77006","aurorapictureshow.org"
4529008,"Public House Heights","29.7816982571429,-95.3882963","2802 White Oak Drive","Houston","77007","publichouseheights.com"
4531890,"Home of Saul Banda","29.773439,-95.3544885","1511 Everett Street","Houston","77009",NULL
4536201,"Houston's First Baptist Church","29.7842287810097,-95.4587495034272","7401 Katy Freeway","Houston","77024",NULL
4575100,"Suzanne Deal Booth Centennial Pavilion, James Turrell Skyspace (Rice University)","29.7184003,-95.3981109","6100 Main Street","Houston","77251",NULL
4578810,"Art Car Museum","29.7669703469388,-95.3971324285714","140 Heights Boulevard","Houston","77007","www.artcarmuseum.com"
4599642,"Alabama Song","29.7194386632464,-95.3744275750002","2521 Oakdale Street","Houston","77004",NULL
4623546,"Westheimer Block Party","29.744681,-95.38493","300 Westheimer Road","Houston","77006","www.freepresshouston.com"
4683018,"Deerslug Studio","29.757931,-95.3526946","2020 Commerce Street","Houston","77002","www.facebook.com/Deerslug-Studio-455371251303475/"
4720303,"Sig's Lagoon","29.7386737,-95.3795866","3622 Main Street","Houston","77002","www.sigslagoon.com"
4731788,"Peel Gallery","29.732777,-95.390707","4411 Montrose Boulevard, Suite 400","Houston","77006","www.peelgallery.org"
4736967,"Art of the World Gallery","29.7422261,-95.4141723","2201 Westheimer Road","Houston","77098","www.artoftheworldgallery.com"
4747014,"The Menil Collection","29.737713,-95.3978528571429","1515 Sul Ross Street","Houston","77006","menil.org"
4748624,"First Saturday Arts Market","29.8027432857143,-95.406924877551","548 West 19th Street","Houston","77008","www.yalestreetmarket.com/Main/HomePage"
4782189,"BeDESIGN","29.7388457,-95.4109722","2016 West Alabama Street","Houston","77098",NULL
4787952,"Sabine Street Studios","29.7747718,-95.378559","1907 Sabine Street","Houston","77007","www.sawyeryards.com/SabineStreet"
4788569,"Khon's","29.7450802653061,-95.3770132244898","2808 Milam Street","Houston","77006","www.khonsbar.com"
