event_uid,venue_uid,start_date,end_date,venue,lat,lon,address,city,zip,url,artist_uid,start_dt,end_dt,event_days,event_mth,season,flood_season
16003834,11856697,2009-07-30,2009-08-08,Lawndale Art Center,29.7296227954545,-95.3866608181818,4912 Main Street,houston,77002,www.lawndaleartcenter.org,5604161,2009-07-30,2009-08-08,9,7,summer,yes
16003834,11856697,2009-07-30,2009-08-08,Lawndale Art Center,29.7296227954545,-95.3866608181818,4912 Main Street,houston,77002,www.lawndaleartcenter.org,9776245,2009-07-30,2009-08-08,9,7,summer,yes
16003834,11856697,2009-07-30,2009-08-08,Lawndale Art Center,29.7296227954545,-95.3866608181818,4912 Main Street,houston,77002,www.lawndaleartcenter.org,12041060,2009-07-30,2009-08-08,9,7,summer,yes
16003834,11856697,2009-07-30,2009-08-08,Lawndale Art Center,29.7296227954545,-95.3866608181818,4912 Main Street,houston,77002,www.lawndaleartcenter.org,15076965,2009-07-30,2009-08-08,9,7,summer,yes
16010606,10434253,2015-12-12,2015-12-13,El Rincon Social,29.74993322209,-95.3423297254765,3210 Preston Street,houston,77003,elrinconsocial.org,NA,2015-12-12,2015-12-13,1,12,winter,no
16011067,13236364,2016-12-09,2017-01-07,Nicole Longnecker Gallery,29.7347647755102,-95.4190644081633,2625 Colquitt Street,houston,77098,longneckergallery.com,3148929,2016-12-09,2017-01-07,29,12,winter,no
16012647,2857335,2009-09-05,2009-09-28,G Gallery,29.7910235,-95.3949771,301 East 11 Street,houston,77008,www.ggalleryhouston.com,14097142,2009-09-05,2009-09-28,23,9,fall,yes
16015635,6567283,2014-01-18,2014-03-01,Gallery Sonja Roesch,29.7454890612245,-95.370059122449,2309 Caroline Street,houston,77004,www.gallerysonjaroesch.com,3858920,2014-01-18,2014-03-01,42,1,winter,no
16015635,6567283,2014-01-18,2014-03-01,Gallery Sonja Roesch,29.7454890612245,-95.370059122449,2309 Caroline Street,houston,77004,www.gallerysonjaroesch.com,8871475,2014-01-18,2014-03-01,42,1,winter,no
16015785,4011713,2012-04-06,2012-04-06,Discovery Green,29.754134,-95.359323,1500 McKinney Street,houston,77010,www.discoverygreen.com,6702543,2012-04-06,2012-04-06,0,4,spring,no
16015785,4011713,2012-04-06,2012-04-06,Discovery Green,29.754134,-95.359323,1500 McKinney Street,houston,77010,www.discoverygreen.com,15738560,2012-04-06,2012-04-06,0,4,spring,no
16016714,9743125,2012-02-11,2012-04-03,Devin Borden Gallery,29.7367831,-95.3828569,3909 Main Street,houston,77002,www.devinborden.com,16102082,2012-02-11,2012-04-03,52,2,winter,no
16018540,3155723,2015-05-02,2015-05-30,Moody Gallery,29.734756,-95.421653,2815 Colquitt Street,houston,77098,www.moodygallery.com,4336746,2015-05-02,2015-05-30,28,5,spring,yes
16018540,3155723,2015-05-02,2015-05-30,Moody Gallery,29.734756,-95.421653,2815 Colquitt Street,houston,77098,www.moodygallery.com,8347440,2015-05-02,2015-05-30,28,5,spring,yes
16019073,5231713,2013-12-13,2014-01-31,Barbara Davis Gallery,29.7331773877551,-95.3910081836735,4411 Montrose Boulevard,houston,77006,www.barbaradavisgallery.com,3305540,2013-12-13,2014-01-31,49,12,winter,no
16019300,3708126,2012-07-07,2012-08-11,Hiram Butler Gallery,29.7676543469388,-95.4063963673469,4520 Blossom Street,houston,77007,www.devinbordenhirambutlergallery.com,11550155,2012-07-07,2012-08-11,35,7,summer,yes
16019337,4334497,2017-06-03,2017-11-19,Station Museum of Contemporary Art,29.725085,-95.3554069,1502 Alabama Street,houston,77004,www.stationmuseum.com,15796420,2017-06-03,2017-11-19,169,6,summer,yes
16019472,1459984,2011-03-11,2011-04-16,DiverseWorks,29.7685355,-95.3559525,1117 East Freeway,houston,77002,www.diverseworks.org,3285533,2011-03-11,2011-04-16,36,3,spring,no
16019472,1459984,2011-03-11,2011-04-16,DiverseWorks,29.7685355,-95.3559525,1117 East Freeway,houston,77002,www.diverseworks.org,4318912,2011-03-11,2011-04-16,36,3,spring,no
16019472,1459984,2011-03-11,2011-04-16,DiverseWorks,29.7685355,-95.3559525,1117 East Freeway,houston,77002,www.diverseworks.org,7096251,2011-03-11,2011-04-16,36,3,spring,no
16019472,1459984,2011-03-11,2011-04-16,DiverseWorks,29.7685355,-95.3559525,1117 East Freeway,houston,77002,www.diverseworks.org,7716291,2011-03-11,2011-04-16,36,3,spring,no
16019472,1459984,2011-03-11,2011-04-16,DiverseWorks,29.7685355,-95.3559525,1117 East Freeway,houston,77002,www.diverseworks.org,10247245,2011-03-11,2011-04-16,36,3,spring,no
16019472,1459984,2011-03-11,2011-04-16,DiverseWorks,29.7685355,-95.3559525,1117 East Freeway,houston,77002,www.diverseworks.org,11963169,2011-03-11,2011-04-16,36,3,spring,no
16019472,1459984,2011-03-11,2011-04-16,DiverseWorks,29.7685355,-95.3559525,1117 East Freeway,houston,77002,www.diverseworks.org,14072344,2011-03-11,2011-04-16,36,3,spring,no
16019472,1459984,2011-03-11,2011-04-16,DiverseWorks,29.7685355,-95.3559525,1117 East Freeway,houston,77002,www.diverseworks.org,15868367,2011-03-11,2011-04-16,36,3,spring,no
16020428,15938756,2011-09-08,2011-10-14,space125gallery (Houston Arts Alliance),29.759979,-95.400484,3201 Allen Parkway,houston,77019,www.haatx.com,9324491,2011-09-08,2011-10-14,36,9,fall,yes
16020428,15938756,2011-09-08,2011-10-14,space125gallery (Houston Arts Alliance),29.759979,-95.400484,3201 Allen Parkway,houston,77019,www.haatx.com,13271356,2011-09-08,2011-10-14,36,9,fall,yes
16021197,15123524,2015-03-05,2015-04-03,College Art Gallery (HCC Northline),29.8326408021978,-95.3760340989011,8001 Fulton Street,houston,77022,northeast.hccs.edu,12132929,2015-03-05,2015-04-03,29,3,spring,no
16023878,1153402,2007-04-21,2007-04-21,Menil Collection,29.737713,-95.3978528571429,1515 Sul Ross Street,houston,77006,www.menil.org,10461349,2007-04-21,2007-04-21,0,4,spring,no
16025244,6567283,2015-08-29,2015-12-31,Gallery Sonja Roesch,29.7454890612245,-95.370059122449,2309 Caroline Street,houston,77004,www.gallerysonjaroesch.com,6534323,2015-08-29,2015-12-31,124,8,summer,yes
16030194,3463717,2015-10-15,2015-11-17,UNIX Gallery,29.732777,-95.3928957,"4411 Montrose Boulevard, Suite C",houston,77006,www.unixgallery.com,2484318,2015-10-15,2015-11-17,33,10,fall,yes
16032751,712212,2015-03-27,2015-05-09,David Shelton Gallery,29.7328175,-95.3908126,"4411 Montrose Boulevard, Suite B",houston,77006,davidsheltongallery.com,2422442,2015-03-27,2015-05-09,43,3,spring,no
16033258,10000716,2016-05-07,2016-06-02,Archway Gallery,29.7454775,-95.4018794,2305-A Dunlavy Street,houston,77006,www.archwaygallery.com,1935921,2016-05-07,2016-06-02,26,5,spring,yes
16033258,10000716,2016-05-07,2016-06-02,Archway Gallery,29.7454775,-95.4018794,2305-A Dunlavy Street,houston,77006,www.archwaygallery.com,5530803,2016-05-07,2016-06-02,26,5,spring,yes
16033719,59280,2018-07-28,2019-01-13,Asia Society Texas Center,29.7265535714286,-95.38433,1370 Southmore Boulevard,houston,77004,asiasociety.org/texas,7829986,2018-07-28,2019-01-13,169,7,summer,yes
16034872,6474523,2008-06-21,2008-07-19,Art Palace,29.7366566,-95.380711,3913 Main Street,houston,77002,www.artpalacegallery.com,3282451,2008-06-21,2008-07-19,28,6,summer,yes
16034872,6474523,2008-06-21,2008-07-19,Art Palace,29.7366566,-95.380711,3913 Main Street,houston,77002,www.artpalacegallery.com,3358417,2008-06-21,2008-07-19,28,6,summer,yes
16034872,6474523,2008-06-21,2008-07-19,Art Palace,29.7366566,-95.380711,3913 Main Street,houston,77002,www.artpalacegallery.com,7711417,2008-06-21,2008-07-19,28,6,summer,yes
16034872,6474523,2008-06-21,2008-07-19,Art Palace,29.7366566,-95.380711,3913 Main Street,houston,77002,www.artpalacegallery.com,8835938,2008-06-21,2008-07-19,28,6,summer,yes
16036419,10434253,2013-01-26,2013-01-26,El Rincon Social,29.74993322209,-95.3423297254765,3210 Preston Street,houston,77003,elrinconsocial.org,16454374,2013-01-26,2013-01-26,0,1,winter,no
16036455,14864515,2013-11-16,2013-11-16,Alliance Gallery (Houston Arts Alliance),29.759979,-95.400484,3201 Allen Parkway,houston,77019,www.houstonartsalliance.com/space125gallery/,1906944,2013-11-16,2013-11-16,0,11,fall,no
16036455,14864515,2013-11-16,2013-11-16,Alliance Gallery (Houston Arts Alliance),29.759979,-95.400484,3201 Allen Parkway,houston,77019,www.houstonartsalliance.com/space125gallery/,5251134,2013-11-16,2013-11-16,0,11,fall,no
16036455,14864515,2013-11-16,2013-11-16,Alliance Gallery (Houston Arts Alliance),29.759979,-95.400484,3201 Allen Parkway,houston,77019,www.houstonartsalliance.com/space125gallery/,8783353,2013-11-16,2013-11-16,0,11,fall,no
16036455,14864515,2013-11-16,2013-11-16,Alliance Gallery (Houston Arts Alliance),29.759979,-95.400484,3201 Allen Parkway,houston,77019,www.houstonartsalliance.com/space125gallery/,9933946,2013-11-16,2013-11-16,0,11,fall,no
16036455,14864515,2013-11-16,2013-11-16,Alliance Gallery (Houston Arts Alliance),29.759979,-95.400484,3201 Allen Parkway,houston,77019,www.houstonartsalliance.com/space125gallery/,10518509,2013-11-16,2013-11-16,0,11,fall,no
16036477,9576675,2012-01-07,2012-01-30,Redbud Gallery,29.7908181428571,-95.3951453673469,303 East 11th Street,houston,77008,www.redbudgallery.com,4238064,2012-01-07,2012-01-30,23,1,winter,no
16036477,9576675,2012-01-07,2012-01-30,Redbud Gallery,29.7908181428571,-95.3951453673469,303 East 11th Street,houston,77008,www.redbudgallery.com,5026479,2012-01-07,2012-01-30,23,1,winter,no
16036477,9576675,2012-01-07,2012-01-30,Redbud Gallery,29.7908181428571,-95.3951453673469,303 East 11th Street,houston,77008,www.redbudgallery.com,9698849,2012-01-07,2012-01-30,23,1,winter,no
16036477,9576675,2012-01-07,2012-01-30,Redbud Gallery,29.7908181428571,-95.3951453673469,303 East 11th Street,houston,77008,www.redbudgallery.com,9853322,2012-01-07,2012-01-30,23,1,winter,no
16036477,9576675,2012-01-07,2012-01-30,Redbud Gallery,29.7908181428571,-95.3951453673469,303 East 11th Street,houston,77008,www.redbudgallery.com,11203505,2012-01-07,2012-01-30,23,1,winter,no
16036477,9576675,2012-01-07,2012-01-30,Redbud Gallery,29.7908181428571,-95.3951453673469,303 East 11th Street,houston,77008,www.redbudgallery.com,12044950,2012-01-07,2012-01-30,23,1,winter,no
16036477,9576675,2012-01-07,2012-01-30,Redbud Gallery,29.7908181428571,-95.3951453673469,303 East 11th Street,houston,77008,www.redbudgallery.com,12111334,2012-01-07,2012-01-30,23,1,winter,no
16036477,9576675,2012-01-07,2012-01-30,Redbud Gallery,29.7908181428571,-95.3951453673469,303 East 11th Street,houston,77008,www.redbudgallery.com,13376856,2012-01-07,2012-01-30,23,1,winter,no
16036477,9576675,2012-01-07,2012-01-30,Redbud Gallery,29.7908181428571,-95.3951453673469,303 East 11th Street,houston,77008,www.redbudgallery.com,16396956,2012-01-07,2012-01-30,23,1,winter,no
16038474,4529008,2012-05-10,2012-07-06,Public House Heights,29.7816982571429,-95.3882963,2802 White Oak Drive,houston,77007,publichouseheights.com,2288266,2012-05-10,2012-07-06,57,5,spring,yes
16042013,6569912,2013-02-06,2013-02-06,Blaffer Art Museum (UH),29.7223514,-95.3425217,"4173 Elgin Street, 120 Fine Arts Building",houston,77204,blafferartmuseum.org,4386181,2013-02-06,2013-02-06,0,2,winter,no
16042013,6569912,2013-02-06,2013-02-06,Blaffer Art Museum (UH),29.7223514,-95.3425217,"4173 Elgin Street, 120 Fine Arts Building",houston,77204,blafferartmuseum.org,11181691,2013-02-06,2013-02-06,0,2,winter,no
16042013,6569912,2013-02-06,2013-02-06,Blaffer Art Museum (UH),29.7223514,-95.3425217,"4173 Elgin Street, 120 Fine Arts Building",houston,77204,blafferartmuseum.org,16194018,2013-02-06,2013-02-06,0,2,winter,no
16045343,14199188,2019-04-03,2019-05-11,Octavia Art Gallery,29.737805,-95.435799,"3637 West Alabama Street, Suite 120",houston,77027,www.octaviaartgallery.com,NA,2019-04-03,2019-05-11,38,4,spring,no
16046828,4024092,2014-10-11,2014-10-31,Bea Ying Projects Pop-Up Gallery,29.7816846107781,-95.3735544999994,1606 White Oak Drive,houston,77009,beayingprojects.com,15616842,2014-10-11,2014-10-31,20,10,fall,yes
16047497,3550312,2014-11-06,2014-12-02,College of the Mainland Art Gallery (CoM),29.3958545,-94.9996207,1200 Amburn Road,texas city,77591,www.com.edu/arts-culture/gallery.php,4588858,2014-11-06,2014-12-02,26,11,fall,no
16049259,14503265,2012-03-03,2012-03-03,Summer Street Studios,29.7729894343434,-95.3836425252525,2204 Summer Street,houston,77007,NULL,6612163,2012-03-03,2012-03-03,0,3,spring,no
16049259,14503265,2012-03-03,2012-03-03,Summer Street Studios,29.7729894343434,-95.3836425252525,2204 Summer Street,houston,77007,NULL,13151572,2012-03-03,2012-03-03,0,3,spring,no
16055098,6022610,2008-06-13,2008-07-13,Houston Center for Photography,29.7386353673469,-95.3964656122449,1441 West Alabama Street,houston,77006,www.hcponline.org,10800074,2008-06-13,2008-07-13,30,6,summer,yes
16055167,14330106,2017-12-08,2018-01-13,Foltz Fine Art,29.7424664,-95.4125566,2143 Westheimer Road,houston,77098,www.reavesart.com/index.php,2493810,2017-12-08,2018-01-13,36,12,winter,no
16056414,512846,2015-05-26,2015-05-27,Sicardi | Ayers | Bacino,29.738947,-95.397845,1506 West Alabama Street,houston,77098,www.sicardi.com,5421406,2015-05-26,2015-05-27,1,5,spring,yes
16056566,6569912,2017-10-27,2018-01-27,Blaffer Art Museum (UH),29.7223514,-95.3425217,"4173 Elgin Street, 120 Fine Arts Building",houston,77204,blafferartmuseum.org,15120657,2017-10-27,2018-01-27,92,10,fall,yes
16056966,9041257,2013-02-08,2013-02-08,East End Studio Gallery,29.7347805,-95.3314365,"708 Telephone Road, Suite C",houston,77023,www.eestudiogallery.com/1.html,2371129,2013-02-08,2013-02-08,0,2,winter,no
16058137,6617588,2013-05-31,2013-05-31,The Joanna Gallery,29.736883,-95.395828,1401 Branard Street,houston,77006,www.thejoanna.org,1313535,2013-05-31,2013-05-31,0,5,spring,yes
16058137,6617588,2013-05-31,2013-05-31,The Joanna Gallery,29.736883,-95.395828,1401 Branard Street,houston,77006,www.thejoanna.org,5604161,2013-05-31,2013-05-31,0,5,spring,yes
16060292,10000716,2015-01-03,2015-02-05,Archway Gallery,29.7454775,-95.4018794,2305-A Dunlavy Street,houston,77006,www.archwaygallery.com,5253599,2015-01-03,2015-02-05,33,1,winter,no
16060292,10000716,2015-01-03,2015-02-05,Archway Gallery,29.7454775,-95.4018794,2305-A Dunlavy Street,houston,77006,www.archwaygallery.com,16218540,2015-01-03,2015-02-05,33,1,winter,no
16060918,6022610,2017-01-27,2017-02-20,Houston Center for Photography,29.7386353673469,-95.3964656122449,1441 West Alabama Street,houston,77006,www.hcponline.org,NA,2017-01-27,2017-02-20,24,1,winter,no
16061116,9576675,2009-06-06,2009-07-05,Redbud Gallery,29.7908181428571,-95.3951453673469,303 East 11th Street,houston,77008,www.redbudgallery.com,10730876,2009-06-06,2009-07-05,29,6,summer,yes
16061836,3816741,2011-11-29,2011-12-31,Texas Gallery,29.7523955454545,-95.408722,2012 Peden Street,houston,77019,www.texgal.com,1897592,2011-11-29,2011-12-31,32,11,fall,no
16061836,3816741,2011-11-29,2011-12-31,Texas Gallery,29.7523955454545,-95.408722,2012 Peden Street,houston,77019,www.texgal.com,7627202,2011-11-29,2011-12-31,32,11,fall,no
16061836,3816741,2011-11-29,2011-12-31,Texas Gallery,29.7523955454545,-95.408722,2012 Peden Street,houston,77019,www.texgal.com,9055617,2011-11-29,2011-12-31,32,11,fall,no
16061836,3816741,2011-11-29,2011-12-31,Texas Gallery,29.7523955454545,-95.408722,2012 Peden Street,houston,77019,www.texgal.com,12487989,2011-11-29,2011-12-31,32,11,fall,no
16061836,3816741,2011-11-29,2011-12-31,Texas Gallery,29.7523955454545,-95.408722,2012 Peden Street,houston,77019,www.texgal.com,12814367,2011-11-29,2011-12-31,32,11,fall,no
16062031,12773559,2008-09-26,2008-09-26,Hello Lucky,29.7895533333333,-95.3879113333333,1025 Studewood Street,houston,77008,www.hello-lucky.com,4927874,2008-09-26,2008-09-26,0,9,fall,yes
16062031,12773559,2008-09-26,2008-09-26,Hello Lucky,29.7895533333333,-95.3879113333333,1025 Studewood Street,houston,77008,www.hello-lucky.com,5726239,2008-09-26,2008-09-26,0,9,fall,yes
16062031,12773559,2008-09-26,2008-09-26,Hello Lucky,29.7895533333333,-95.3879113333333,1025 Studewood Street,houston,77008,www.hello-lucky.com,7670323,2008-09-26,2008-09-26,0,9,fall,yes
16062031,12773559,2008-09-26,2008-09-26,Hello Lucky,29.7895533333333,-95.3879113333333,1025 Studewood Street,houston,77008,www.hello-lucky.com,10107575,2008-09-26,2008-09-26,0,9,fall,yes
16062031,12773559,2008-09-26,2008-09-26,Hello Lucky,29.7895533333333,-95.3879113333333,1025 Studewood Street,houston,77008,www.hello-lucky.com,13547465,2008-09-26,2008-09-26,0,9,fall,yes
16062031,12773559,2008-09-26,2008-09-26,Hello Lucky,29.7895533333333,-95.3879113333333,1025 Studewood Street,houston,77008,www.hello-lucky.com,14689990,2008-09-26,2008-09-26,0,9,fall,yes
16062318,3352428,2014-03-09,2014-03-09,BLUEorange Contemporary,29.75338284,-95.39438396,1208 West Gray Street,houston,77019,blueorangehouston.com,1259178,2014-03-09,2014-03-09,0,3,spring,no
16062318,3352428,2014-03-09,2014-03-09,BLUEorange Contemporary,29.75338284,-95.39438396,1208 West Gray Street,houston,77019,blueorangehouston.com,4973152,2014-03-09,2014-03-09,0,3,spring,no
16062318,3352428,2014-03-09,2014-03-09,BLUEorange Contemporary,29.75338284,-95.39438396,1208 West Gray Street,houston,77019,blueorangehouston.com,11354529,2014-03-09,2014-03-09,0,3,spring,no
16062318,3352428,2014-03-09,2014-03-09,BLUEorange Contemporary,29.75338284,-95.39438396,1208 West Gray Street,houston,77019,blueorangehouston.com,15052990,2014-03-09,2014-03-09,0,3,spring,no
16063740,512846,2010-10-30,2010-10-30,Sicardi | Ayers | Bacino,29.738947,-95.397845,1506 West Alabama Street,houston,77098,www.sicardi.com,15015511,2010-10-30,2010-10-30,0,10,fall,yes
16069997,12330565,2016-04-08,2016-03-29,"Museum of Fine Arts, Houston (MFAH)",29.725938,-95.39462,1001 Bissonnet Street,houston,77005,www.mfah.org,NA,2016-03-29,2016-04-08,10,3,spring,no
16072284,3352428,2016-10-22,2016-11-23,BLUEorange Contemporary,29.75338284,-95.39438396,1208 West Gray Street,houston,77019,blueorangehouston.com,6610163,2016-10-22,2016-11-23,32,10,fall,yes
16073622,9927925,2012-01-19,2012-02-24,Architecture Center Houston,29.7628673,-95.3689592,"315 Capitol Street, Suite 120",houston,77002,www.aiahouston.org,5970043,2012-01-19,2012-02-24,36,1,winter,no
16073622,9927925,2012-01-19,2012-02-24,Architecture Center Houston,29.7628673,-95.3689592,"315 Capitol Street, Suite 120",houston,77002,www.aiahouston.org,14699374,2012-01-19,2012-02-24,36,1,winter,no
16074362,11347050,2010-01-14,2010-02-13,Xnihilo Gallery,29.750092,-95.3856178571429,2115 Taft Street,houston,77006,www.xnil.org/v2/html/,6788738,2010-01-14,2010-02-13,30,1,winter,no
16076169,12330565,2018-03-28,2018-09-03,"Museum of Fine Arts, Houston (MFAH)",29.725938,-95.39462,1001 Bissonnet Street,houston,77005,www.mfah.org,NA,2018-03-28,2018-09-03,159,3,spring,no
16077951,10000716,2018-08-04,2018-08-30,Archway Gallery,29.7454775,-95.4018794,2305-A Dunlavy Street,houston,77006,www.archwaygallery.com,14769358,2018-08-04,2018-08-30,26,8,summer,yes
16078009,7462795,2018-06-02,2018-06-30,Civic TV Laboratories,29.7792093,-95.3641339,2108 Freeman Street,houston,77009,NULL,NA,2018-06-02,2018-06-30,28,6,summer,yes
16079684,750269,2011-09-30,2011-09-30,Imago Dei Gallery,29.720657,-95.4167219,2525 Robinhood Street,houston,77005,www.imagodeigallery.com,7674019,2011-09-30,2011-09-30,0,9,fall,yes
16082956,11856697,2009-06-13,2009-06-13,Lawndale Art Center,29.7296227954545,-95.3866608181818,4912 Main Street,houston,77002,www.lawndaleartcenter.org,39989,2009-06-13,2009-06-13,0,6,summer,yes
16082956,11856697,2009-06-13,2009-06-13,Lawndale Art Center,29.7296227954545,-95.3866608181818,4912 Main Street,houston,77002,www.lawndaleartcenter.org,397144,2009-06-13,2009-06-13,0,6,summer,yes
16082956,11856697,2009-06-13,2009-06-13,Lawndale Art Center,29.7296227954545,-95.3866608181818,4912 Main Street,houston,77002,www.lawndaleartcenter.org,1217044,2009-06-13,2009-06-13,0,6,summer,yes
16082956,11856697,2009-06-13,2009-06-13,Lawndale Art Center,29.7296227954545,-95.3866608181818,4912 Main Street,houston,77002,www.lawndaleartcenter.org,7354577,2009-06-13,2009-06-13,0,6,summer,yes
16082956,11856697,2009-06-13,2009-06-13,Lawndale Art Center,29.7296227954545,-95.3866608181818,4912 Main Street,houston,77002,www.lawndaleartcenter.org,7955987,2009-06-13,2009-06-13,0,6,summer,yes
